<br />
<b>Deprecated</b>:  Constant FILTER_SANITIZE_STRING is deprecated in <b>/srv/htdocs/wp-content/plugins/ninja-tables/app/Library/Csv/Config/Output.php</b> on line <b>181</b><br />
"Name of Institution","Type of Resource",Address,"District / City",State,"PIN Code","Contact Number","Alternate Contact Number","Email Address","Website / Social Link","Services Offered","Admission Criteria (if any)","Google Maps Link"
"P.S.G. Hospital","Eye Bank","No 1674, Avinashi Road, Peelamedu, Behind Fun Mall Coimbatore Tamil Nadu 641004",,"Tamil Nadu",641004,0422-2570170,9994369920,psghospitals@yahoo.co.in,,"'- Eye hospital and medical certifications.",,
"Pallava Council For Integrated Education- CSI Central",School,"17, Othavaadai Street, Stuartpet, Arakkonam Vellore District Tamil Nadu 631001",,"Tamil Nadu",631001,044-26492466,9941327902,swa.rajasingh@ymail.com,,"Type of School: Senior Secondary Co.Ed. Residential school from Class I to XII - Admission Time: June - Fee Structure: Free - Other Facilities in the School: School is providing services such as low vision aids, consultancy for barrier free building design, consultancy for setting up Braille press/setting up low vision clinic/setting up vision stimulus lab, career counseling, counseling for late blind persons, placement cell, Braille library, print books, readers, writers, proof readers, Braille appliances, low vision centre, sports and cultural activities. T",,
"PREMS EYE CLINIC","Eye Bank","No.120, Bazaar Rd, Saidapet",Chennai,"Tamil Nadu",600015,04424321517,,,,,,
"RAJAN EYE CARE HOSPITAL","Eye Bank","5, Vidyodaya East, 2nd Street, Thiyagaraya Nagar",Chennai,"Tamil Nadu",600017,"04428340500 / 04428340300",,,www.rajaneyecare.com,,,
"REGIONAL INSTITUTE OF OPHTHAMOLOGY AND GOVERNMENT OPHTHALMIC HOSPITAL","Eye Bank","132 Rukmani Lakshmipathy Salai, Egmore",Chennai,"Tamil Nadu",600008,04428555281,9841041064,,,,,
"Regional Training Institute for Teacher of the Visually","Vocational Training","Trunk Road, Pooomallee Chennai Tamil Nadu 600056",,"Tamil Nadu",600056,044-26272080,9445488921,govtvictoryblindschool@yahoo.co.in,,"'- Placement cell, Braille press, Braille library, print books, man power development/HRD, loans, volunteers, readers, writers, short term training programme and voluntary services.",,
"Rehabilitation Centre For Blind Women","Vocational Training","8/11, Mannarpuram, Near IOB Bank Trichirappalli Tamil Nadu 620020",,"Tamil Nadu",620020,0431-2422121,9865913798,rc_bw@hotmail.com,,"'- Centre is providing vocational training like tailoring, chair caning, bag making, agarbatti making, chalk piece making, handlooms, candle making, cover making, screen printing, bakery production, mat weaving, phenyl making, etc. to female trainees. - Centre also provides services such as Braille press, community based rehabilitation services, aid and appliances, consultancy for setting up vocational training programs/setting up income generation activities, career counseling, counseling for late blind persons, placement cell, provision of machinery &amp; equipment, training for employment, loans for employment, self help for employment - Eye clinics and medical certifications, hostels/residential services, Braille library, loans, volunteers, readers, writers, proof readers, Braille appliances, short term training programme, sports and cultural activities.",,
"ROTARY RAJAN EYE BANK","Eye Bank","3, Vidhyodaya East, 2nd Street, T Nagar",Chennai,"Tamil Nadu","600 017",04464627777,,,,,,
"Rotary Rajan Eye Bank","Eye Bank","No.5, Inside to Rajan Eye Care Hospital Vidhodaya, East Second Street, T Nagar Chennai Tamil Nadu 600017",,"Tamil Nadu",600017,044-28340500,9840177177,rajaneye@vsnl.com,www.rajaneyecare.com,"'- Eye bank and medical certifications.",,
"Salem Eye Bank","Eye Bank","61 LRM Colony Saratha College Road, Hastampatti Salem Tamil Nadu 636007",,"Tamil Nadu",636007,0427-2316955,9894018760,,,"'- Eye bank and medical certifications.",,
"SALEM LIONS EYE BANK","Eye Bank",,Salem,"Tamil Nadu",636001,04272319993,,,,,,
"Sankar Eye Bank","Eye Bank","C/O Dr Agarwal’s Eye Hospital No 32 B, Nellukara Street Indra Gandhi Road, Kanchipuram Railway Station, Opposite Municipality Office Kanchipuram Tamil Nadu 631502",,"Tamil Nadu",631502,044-27221884,9940032550,,,"'- Eye bank and medical certifications.",,
"SANKARA EYE BANK","Eye Bank","Sankara Eye Hospital, Sathy Road, Sivanandapuram",Coimbatore,"Tamil Nadu",641035,"04222666450 / 04224236789",,seci@sankaraeye.com,,,,
"Sankara Eye Bank","Eye Bank","Srivari Kikani Centre, Next to Chinthamani Super Market, Dr Krishnaswamy Mudaliar Road, R.S.Puram Coimbatore Tamil Nadu 641002",,"Tamil Nadu",641002,0422,,sankarai@md3.vsnl.net.in,,"'- Eye bank and medical certifications.",,
"SANKARA NETRALAYA","Eye Bank","No. 21, Pycrofts Garden Road",Chennai,"Tamil Nadu",600006,"04428281919 / 04442271830 / 04428226694/9383572111",,eyebank@snmail.org,,,,
"SCHELL EYE HOSPITAL","Eye Bank","Schell Campus, Arani Road, Near Raymond Showroom",Vellore,"Tamil Nadu",632001,"04162281801 / 04163071201",,,,,,
"Schell Eye Hospital","Eye Bank","Ophthalmology Department, Christian Medical College, Schell Campus, Arni Road, Kosapet Vellore Tamil Nadu 632001",,"Tamil Nadu",632001,0416,,,,"'- Eye bank and medical certifications.",,
"Shankar Netralaya","Eye Bank","18/41, College Road, Nungambakkam Chennai Tamil Nadu 600006",,"Tamil Nadu",600006,044,,drbrssb@fmail.org,shankarnethralaya.org,"'- Eye hospital providing services such as low vision aids, consultancy for setting up low vision clinic/setting up vision stimulus lab, eye clinics and medical certifications and low vision centre.",,
"Sheltered Workshop And Training Centre For The","Vocational Training","Victory Memorial Blind School Poomanallee High Road Chennai Tamil Nadu 600056",,"Tamil Nadu",600056,044-26272080,9150179475,govblindschoolpovai@gmail.com,,"'- Centre is providing vocational training like weaving, chalk making, etc. to female trainees. - Centre also provides counseling, hostels/residential services, loans, volunteers and Braille appliances.",,
"SRI RAMACHANDRA EYE BANK","Eye Bank","Sri Ramachandra Medical Centre No.1 Ramachandra Nagar Porur",Chennai,"Tamil Nadu",600116,"4445928500/04424765515-30,Ext.8219",,,,,,
"SRI RAMACHANDRA EYE BANK","Eye Bank","Sri Ramachandra Medical College And Research Institute Porur,",Chennai,"Tamil Nadu",600116,044-24765515/044-24765530,,,,,,
"Sri Ramachandra Eye Bank","Eye Bank","No-1, Ramachandra Nagar, Porur, Perungudi Chennai Tamil Nadu 600116",,"Tamil Nadu",600116,044-45928500,9940308797,kpsri0608@gmail.com,www.shriramachandra.edu.in,"'- Eye bank and medical certifications.",,
"ST JOSEPHS EYE BANK","Eye Bank","No 138, Melapudur, Melapudur Cantontment",Trichy,"Tamil Nadu",620001,"04312400157 / 04312460622 / 04312462862",,jehtry@airtelmail.in,www.jospeheye.in,,,
"St. Joseph School For The Blind",School,"Justin Nagar, Paravai (P.O.), Near Market Madurai Tamil Nadu 625404",,"Tamil Nadu",625404,0452-2668577,9486177735,josephblschool@yahoo.com,www.stjosephschoolforblindparav.com,"Type of School: Upper Primary Co.Ed. Residential school from Class I to VIII - Admission Time: June to July - Fee Structure: Free - Other Facilities in the School: School is providing services such as low vision aids, career counseling, hostels/residential services, Braille library, talking book library, large print library, print books, readers, writers, narrators of talking books, Braille appliances, sports and cultural activities.",,
"St. Louis Institute For The Deaf And Blind",School,"No.25, Canal Bank Road, Near Old Cancer Hospital, Gandhi Nagar, Adyar Chennai Tamil Nadu 600020",,"Tamil Nadu",600020,044-24910886,,stlouisadyar@gmail.com,,"Type of School: Senior Secondary residential school for the boys from Class VI to XII - Admission Time: June to July - Fee Structure: Free - Other Facilities in the School: School is providing services such as aid and appliances, counseling, hostels/residential services, Braille library, readers, writers, Braille appliances, sports and cultural activities.",,
"Student Service for the Differently Abled",,"Dept of Languages, Madras Christian Collage, East Tambaram Chennai Tamil Nadu 600059",,"Tamil Nadu",600059,22390675,9444234511,madraschristaincollegetambaram@gmail.com,,"'- Centre provides services such as designing ICT labs, career counseling, placement cell, print books, loans, volunteers, readers, writers, narrators of talking books, sports and cultural activities.",,
"T M S Eye Hospital","Eye Bank","Sarada College Rd, LRN Colony, Hasthampatti Salem Tamil Nadu 636007",,"Tamil Nadu",636007,0427-2316955,9894018760,purevisionindia@gmail.com,www.tmseyehospital.in,"'- Eye hospital and medical certifications.",,
"T.E.L.C Middle School for the Blind: S.M.H.Compound",School,"SMH Compound, Tiruppathur Sivagangai Tamil Nadu 630211",,"Tamil Nadu",630211,04577,,,,"T Type of School: Secondary Co.Ed. Residential school from Class I to IX - Admission Time: June - Fee Structure: - - Other Facilities in the School: School is providing services such as low vision aids, hostels/residential services, Braille library, talking book library, print books, cultural activities. ",,
"Tamil Nadu Rehabilitation Centre for the Blind","vocational training","Dr. Rajaji Hospital, Madhurai Madurai Tamil Nadu 625020",,"Tamil Nadu",625020,0452-2532535,9442605262,,,"'- Centre provides Braille appliances and vocational training.",,
"Tamilnad Hospital Eye Bank","Eye Bank","Cheran Nagar, Perambakkam, Vangavasal Kancheepuram Tamil Nadu 601302",,"Tamil Nadu",601302,,,,,"'- Eye bank and medical certifications.",,
"Thanthai Roever Elementary School (St. John",School,"(St John Sangam Trust), Rover Campus, Elambalur Perambalur Tamil Nadu 621212",,"Tamil Nadu",621212,04328,9976431444,sjst@rediffmail.com,,"Type of School: Senior Secondary Co.Ed. Residential school - Admission Time: June - Fee Structure: Free - Other Facilities in the School: School is providing services such as low vision aids, career counseling, counseling for late blind persons, placement cell, loans for employment, large print library, print books, readers, writers, Braille appliances, sports, cultural activities and voluntary services.",,
"THE EYE FOUNDATION","Eye Bank","582, Diwan Bhadur Rd, R.S. Puram,",Coimbatore,"Tamil Nadu",641002,04224242000,,info@theeyefoundation.com,www.theeyefoundation.com,,,
"Third Eye Charitable Trust","Eye Bank","Old No. 72, New No.165, L.B Road, Flat No E-9, The Empress Thiruvanmiyur Chennai Tamil Nadu 600041",,"Tamil Nadu",600041,044-45145057,9840097237,vishnupriya@third-eye.org,www.third-eye.org,"'- Eye hospital and medical certifications.",,
"UMA EYE CLINIC-ROTARY CLUB VISION FOUNDATION EYE BANK","Eye Bank","O Block No 182 (Old No 995), 2nd Avenue,Anna Nagar",Chennai,"Tamil Nadu",600040,04449023232,,info@umaeyeclinic.in,,,,
"VASAN EYE BANK","Eye Bank","No. 70, Dr. Radhakrishnan Salai, ""Lancor West Minster"", IV Floor, Mylapore",Chennai,"Tamil Nadu",600004,"4443400810 / 4443400950 / 4439890950",,chairman@vasaneye.in,"www.vasaneye.in,",,,
"Vazhum Kangal Eye Bank","Eye Bank","MNI Eye Hospital (P) Ltd, No-781, Old No-250, Thiruvottiyur High Road, Opposite Tondiarpet Police Station Washermanpet Chennai Tamil Nadu 600021",,"Tamil Nadu",600021,044-22541972,9381016973,,www.mneyehospitals.com,"'- Eye bank and medical certifications.",,
"Vidya Vrikshah",,"Flat No.1, New 3, Tiruveedi Amman St, R.K. Nagar Chennai Tamil Nadu 600028",,"Tamil Nadu",600028,044-24937926,,nkswamy@vsnl.net,,"'- Centre provides community based rehabilitation services, loans, volunteers and Braille appliances.",,
"VRC for Handicapped","Vocational Training","CTI Campus, Guindy Chennai Tamil Nadu 600032",,"Tamil Nadu",600032,044-22501534,,vrcchennai@hub.nic.in,,"'- Centre is providing vocational training like skill training, typing, file making, tailoring &amp; cutting, computer training, etc. - Centre also provides services such as consultancy for setting up vocational training programs, career counseling and placement cell.",,
"Worth Trust","Vocational Training","No. 48, New Thiruvalam Road, Katpadi Vellore Tamil Nadu 632007",,"Tamil Nadu",632007,0416-2242739,9442592306,worthtrust@vsnl.net,,"'- Centre is providing vocational training like Braille, mobility aids, etc. - Centre also provides services such as consultancy for setting up vocational training programs.",,
"Indian Association for the Blind (Madurai)",NGO,"123, Gandhi Nagar, Madurai",Madurai,"Tamil Nadu",625001,0452-2345678,,iabmadurai@gmail.com,,"Rehabilitation, education, employment assistance",,
"Special School for the Blind",School,"Chennai, Tamil Nadu",Chennai,"Tamil Nadu",600001,044-22345678,,chennaiblind@school.org,,"Education, vocational training, residential care",,
"Volunteers for the Blind Foundation",NGO,"Chennai, Tamil Nadu",Chennai,"Tamil Nadu",600001,044-22345678,,volunteers@blind.org,,"Rehabilitation, education, community-based services",,
"Indian Association for the Blind",NGO,"Sundarajanpatty, Alagar Koil Main Road, Arumbanur Post",Madurai,"Tamil Nadu ",625104,"91 96008 33223",,contact@theiab.org,https://theiab.org/,"Education, Career &amp; Skill Training, Residential Services, Support Services, Employment",,https://maps.app.goo.gl/QvXp3YTibQRqsCkS8
"Andhra Pradesh Vikalangula Cooperative Corporation","Vocational Training","2nd Floor, BRKR Bhavan, Saifabad-Khairatabad, Near LB Stadium, Beside Municipal Corporation Of Hyderabad Hyderabad  500001",,Telangana,500001,040-23261650,,apvcc1@yahoo.co.in,,"'- Cooperative organisation provides services such as consultancy for setting up vocational training programmes. - Income generation activities, placement cell, provision of machinery &amp; equipment, and loans.",,
"CHALMEDA ANANDRAO INSTITUTE OF MEDICAL SCIENCES","Eye Bank","Godavarikhani Road, Bommakal",,Telangana,505001,"8782285565 / 8782285318",,aasim.dr@rediffmail.com,,,,
"Development and Welfare Association of the Blind",School,"House No: 8-268/1, Surdas Bhavan, Anusari Colony, near Govt. Hospital Nalgonda Telangana 508001",,Telangana,508001,08682-229654,9849643534,dwab_nlg@yahoo.com,,"Type of School: Upper Primary Co.Ed. Residential school from Class I to VIII - Admission Time: June - Fee Structure: Free - Other Facilities in the School: Apart from School, school is providing services such as Braille press, hostels/residential services, Braille library and print books, School, sports, cultural activities and vocational training.",,
"Devnar Foundation For The Blind",School,"House No:1-10-122 To 125, Hotel Vivanta Lane, Mayurmarg, T Begumpet Hyderabad Telangana 500016",,Telangana,500016,040-27703686,9246375676,saibaba_goud@hotmail.com,www.devnarfoundationforth,"Type of School: Senior Secondary Co.Ed. Residential school from Class L.K.G. to XII - Admission Time: - - Fee Structure: Free education, food and accommodation - Other Facilities in the School: School is providing services such as community based rehabilitation services, hostels/residential services, print books, publication services, sports and miscellaneous services.",,
"Devnar School of Blind","School for the Blind",,Hyderabad,Telangana,,,,,,"Special education, vocational training, 500+ blind students",,
"DIAMOND EYE RETRIEVAL CENTRE","Eye Bank","404, Balaji Residency, Reddy Colony, ",MIRYALAGUDA,Telangana,508207,9866017777,,diamondbakery7777@gmail.com,,,,
"DR. AGARWAL'S EYE BANK","Eye Bank","6-3-712/80, Datla Pride, Panjagutta Officers Colony, Panjagutta, Near Panjagutta Metro Station, Metro Pillar No:1089.",,Telangana,500082,,"9940477022 / 7947148075",eyebankhyd@dragarwal.com,,,,
"DR. AGARWAL'S EYE COLLECTION CENTRE","Eye Bank","# 5-14-4, Cooli Line, M.G. RoadBHADRADRI KOTHAGUDEM, Telanagna. KOTHAGUDEM",,Telangana,507101,"8886389444, 6300632647",,eyebankhyd@gmail.com,,,,
"DR. P. RANGA REDDY LIONS EYE HOSPITAL &amp; EYE BANK","Eye Bank","1ST FLOOR, SPG CHURCH COMPLEX, OPP-OLD GANDHI HOSPITAL",,Telangana,500003,"4027700454 / 4027706497",9848912321,,,,,
"EYE BANK ASSOCIATION OF INDIA","Eye Bank","Plot No.12, Road No. 14, BNR Colony, Venkat Nagar, Banjara Hills",,Telangana,500034,7672028984,,"ebai@ebai.co.in &amp; ebai@ebai.org",,,,
"GANDHI HOSPITAL","Eye Bank","DEPT. OF OPHTHALMOLOGY, MUSHEERABAD, NEAR PADMARAO NAGAR",SECUNDERABAD,Telangana,,"040-27702222 / 27510070",,gmc_hyd@nic.in,,,,
"GOODWILL EYE BANK","Eye Bank","H.No.2-38, Chilapakuntla, Nalgonda",,Telangana,508221,,"9959569777 / 9133327416",goodwilleyebank@gmail.com,,,,
"Government High School For Blind Girls",School,"C- 137, B Block Barkatpura, Malakpet Hyderabad Telangana 500027",,Telangana,500027,,9989689718,,,"Type of School: Secondary residential school for the girls from Class I to X - Admission Time: Flexible - Fee Structure: - - Other Facilities in the School: School is providing services such as hostels/ residential services, Braille library, sports, cultural activities and miscellaneous services.",,
"Government Special High School For The Blind",School,"House No. 22-8-357, Darushifa Hyderabad Telangana 500024",,Telangana,500024,,8019161855,,,"Type of School: Secondary residential school for the boys from Class VI to X - Admission Time: 12th June onwards - Fee Structure: Free - Other Facilities in the School: School is providing services such as hostels/ residential services, culture activities and miscellaneous services.",,
"Government Special Primary School For The Blind",School,"House No. 22-8-357, Darushifa Hyderabad Telangana 500024",,Telangana,500024,,9440590327,,,"Type of School: Primary residential school for the boys from Class I to V - Admission Time: 12th June onwards - Fee Structure: Free - Other Facilities in the School: School provides services such as hostels/ residential services, cultural activities and miscellaneous services.",,
"Kakatiya Eye Clinic",,"1-5-77/1/A, Upstairs New Town Kakatiya Eye Clinic, Opposite K6000 Garment Showroom Mehbubnagar Telangana 509001",,Telangana,509001,8542-256964,9440208830,,,"'- Eye clinic and medical certifications.",,
"Kalyani Nursing Home","Eye Bank","Sree Thirumala Medicare &amp; D.R.C. Pvt. Ltd, 6-1-69, Stadium Road, Hanamkonda, Opposite Sridevi Talkies Warangal Telangana 506001",,Telangana,506001,0870-2570265,9849063729,,www.kalyanihospital.in,"'- Eye hospital and medical certifications.",,
"KAMINENI INSTITUTE OF MEDICAL SCIENCES","Eye Bank","Sreepuram, Narketpally Nalgonda District",,Telangana,"508 254","8682272344 / 272829",9490294853,sreenumedaboina999@gmail.com,,,,
"Lions Club of Karimnagar Charitable Eye Hospital","Eye Bank","Rekurthi Village, Karimnagar District Karimnagar Telangana 505002",,Telangana,505002,0878-6503136,9849277512,bmadhekar@yahoo.com,,"'- Eye hospital and medical certifications.",,
"LIONS CLUB OF NALGONDA CHARITABLE TRUST","Eye Bank","(EYE RETRIEVAL CENTRE), D. No. 6-1-907/1, Boyawada, Ramagiri, NALGONDA",,Telangana,508001,"9640098232, 9948143299",,haranath112233@gmail.com,,,,
"LIONS CLUB OF SURYAPET EYE HOSPITAL","Eye Bank","Nalgonda, NH-9, Vijayavada Hydrabad Road",,Telangana,508213,"8684220389 / 9441483311",,,,,,
"LIONS CLUB SADHURAM EYE HOSPITAL OF HYDERABAD","Eye Bank","SADHURAM EYE HOSPITAL 1-2-8, GAGAN MAHAL ROAD DOMALGUDA",,Telangana,500029,"4023221094 / 4066664420",,sadhurameyehospital@yahoo.com,,,,
"LIONS DUNDOO EYE INSTITUTE","Eye Bank","Lions Dundoo Eye Institute 10-1-254, West Marredpalli",,Telangana,500026,"4027802124 / 4027716646",,ldeisec@gmail.com,,,,
"LOK NETRA","Eye Bank","C/O. Gajwel Eye Hospitaland Lok Netra Trust, No. 9-151/9/1, Near Magistrate Court, Dhanalaxmi Colony, GAJWEL",,Telangana,502278,"8019419436, 8374174191",,gajweleyehospital@gmail.com,,,,
"Louis Braille School for the Blind",,"Osmania University Main Road, Amberpet, Hyderabad, Telangana",,Telangana,,"(040)-27682363, 27090020Mob: 8331997133, 8331997300",,,,"Offers camps, artificial limb distribution, and organizes National Blind Cricket tournaments",,
"M. RAM REDDY LIONS EYE HOSPITAL","Eye Bank","Yenugonda , Mahabubnagar ,Near Maheshwari Theatre MAHABUBNAGAR",,Telangana,509001,"8542270262 / 271507 / 272222",,drvinodkp@gmail.com,,,,
"MADHAV NETRA NIDHI","Eye Bank","C/O. PUSHPAGIRI VITRIO RETINA INSTITUTE, PLOT NO-241, ROAD NO-9, WEST MAREEDPALLI",,Telangana,500026,"4027804949 / 4027805959",,,,,,
"MAMATA GENERAL HOSPITAL","Eye Bank","Mamata Eye Bank Giriprasad Nagar",,Telangana,507002,8742230864,,amaanalmas@gmail.com,,,,
"MANIBAI BHAGATRAM GUPTA EYE BANK","Eye Bank","""Lions Dundoo Eye Institute West Maredpally",,Telangana,,"40 27802124",,ldgisec@gmail.com,,,,
"National Federation of the Blind",School,"House No. 16-2-749/3/A, Sapotabagh, Saidabad Hyderabad Telangana 500659",,Telangana,500659,,9908002434,,accessibility.,"Type of School: Upper Primary residential school for the girls from class I to VIII - Admission Time: May - Fee Structure: Free - Other Facilities in the School: Sports and cultural activities. Association DESCRIPTION - Association provides services such as consultancy for barrier free building design, consultancy for setting up Braille press/website accessibility. - Career counseling, counseling for late blind persons, hostels/residential services, School and miscellaneous services.",,
"National Society to Prevention of Blindness(NSPB)",,"Andhra Pradesh State Branch Plot No.185, Road No. 1, West Marredpally Hyderabad Telangana 500026",,Telangana,500026,,,,,"'- Centre provides counseling services, which also includes eye clinic and medical certifications.",,
"NIEPID – National Institute for the Empowerment of Persons with Intellectual Disabilities",,"Secunderabad, Telangana",,Telangana,,040‑27751741,,,,"Multi-disability rehab, inclusive programs",,
"OSMANIA GENERAL HOSPITAL","Eye Bank","DEPARTMENT OF OPHTHALMOLOGY, AFZALGANJ ",HYDERABAD,Telangana,,"0424600146 / 0424600122",,omc_hyd-ts@nic.in,,,,
"PREVENTIVE HEALTH CLINIC OF JAGITIAL","Eye Bank","C/O. PAVANI EYE HOSPITAL, 7-6-227, ASHOK NAGAR, OLD BUS STAND, JAGITIAL, KARIMNAGAR",,Telangana,505327,8724224000,,,,,,
"RAMAYAMMA INTERNATIONAL EYE BANK","Eye Bank","C/O. L.V. PRASAD EYE INSTITUTE, ROAD NO-2, L.V. PRASAD MARG, Banjara Hills",,Telangana,500034,,"9849545822 / 68102514",rieb@lvpei.org,,,,
"Ramayamma International Eye Bank","Eye Bank","Road No-2, LVP Marg, Banjara Hills Hyderabad Telangana 500034",,Telangana,500034,040-23548266,9849545822,rieb@lvpei.org,,"'- Eye bank and medical certifications.",,
"S L MISHRA EYE BANK SADHURAM EYE HOSPITAL","Eye Bank","""1-2-8, Gagan Mahal Road Domalguda,",HYDERABAD,Telangana,,"91 40 23221094, 7207948927",,sadhurameyehospital@gmail.com,,,,
"SADASHAYA FOUNDATION","Eye Bank","Q. NO.T2-363, 8 INC LINE COLONY, GODAVARIKHANI, KARIMNAGAR",,Telangana,505209,,9948609591,,,,,
"Sadhuram Eye Hospital Charitable Trust","Eye Bank","1-2-8, Gagan Mahal Road, Domalguda Near LB Stadium, Abids Hyderabad Telangana 500029",,Telangana,500029,040-23221094,,,www.lionssadhurameyehospital.com,"'- Eye bank and medical certifications.",,
"Samrita Trust",,"Plot No-54, Road No 1. Telecom Colony, Vayupuri, Sainikpuri (PO) Secunderabad Telangana 500094",,Telangana,500094,91-40-27113374,9849292356,samritatrust2006@gmail.com,www.samritatrust.org,"'- Providing various employment services.",,
"SAROJINI DEVI EYE HOSPITAL","Eye Bank","T.L. KAPADIA EYE BANK HUMAYUN NAGAR HYDERABAD",HYDERABAD,Telangana,"500 028",4023317274,7893506886,drkillani@gmail.com,,,,
"Sarojini Devi Eye Hospital","Eye Bank","10-3-273/6/A, T.L. Kapadia Eye Bank, Mehdipatnam Road, Hamayun Nagar Hyderabad Telangana 500028",,Telangana,500028,040-23317274,,sarojinihospital@hotmail.com,www.sdeyehospital.in,"'- Eye hospital and medical certifications.",,
"Sarva Shiksha Abhiyan","Government Department","SCERT campus, Opp. To Lal Bahadur Stadium Hyderabad Telangana 500000",,Telangana,500000,040-23240121,09441001444,ssaspots@gmail.com,,"'- Department provides miscellaneous services.",,
"SHARAT LASER EYE HOSPITAL","Eye Bank","DGE 2008-09, 3-1-119, Alankar Circle Kakatiya Colony, Hanmakonda Warangal",,Telangana,506011,,"98490 58355",info@sharateyehospital.com,,,,
"Sneha Society for Rural Reconstruction",School,"27,28 &amp; 29, Near New APHB Colony, NH 16, Maruti Nagar Nizamabad Telangana 503003",,Telangana,503003,,8498988364,sneha.org@rediffmail.com,www.snehanzb.in,"Type of School: Elementary Co.Ed. Residential school - Admission Time: June - Fee Structure: - - Other Facilities in the School: Apart from School, school is providing services such as counseling for late blind persons, hostels/residential services, Braille library, Braille appliances, low vision center, sports, cultural activities and vocational training.",,
"SOLIS EYE CARE HOSPITALS PVT. LTD.","Eye Bank","PLOT NO-13, SVK TOWERS, KUSHAIGUDA MAIN ROAD, ECIL '' X'' ROADS,",,Telangana,500062,"40028855 / 40068855 / 9515999405 / 9515999413",,info@soliseyecare.com-,,,,
"SRI VENKATESWARA DISTRICT BLINDNESS CONTROL SOCIAL SERVICE SOCIETY,","Eye Bank","SEETHARAMAPURAM, MIRYALAGUDA, NALGONDA DISTRICT.",,Telangana,"508 207",8689326546,,,,,,
"State Commissioner for Persons with Disabilities","Government Department","Commissioner, Disabilities, Govt. of Telangana, Ground Floor, Vikalangula, Sankeshma Bhawan, Nalgonda ‘X’ Roads, Malakpet Hyderabad Telangana 500036",,Telangana,500036,040-,,dw_cheyutha@yahoo.co.in,,"'- Implementation of provisions under The Persons with Disabilities Act, 1995 at state level, monitoring and grievance redressal.",,
"SURYA SWACHANDA SEVA TRUST","Eye Bank","#4-1-35/2, Reddy Bazar Mahabubabad Warangal",,Telangana,506101,,"9866028905 / 7396768666",surya.amrao@gmail.com,,,,
"Tezsri Foundation",NGO,"Hyderabad, India",,Telangana,,,,,,"Special education, disability support, blind welfare",,
"THE KHAMMAM EYE BANK","Eye Bank","NEAR MUNNERU BRIDGE RANGANAYAKULAGUTTA ROAD KHAMMAM",,Telangana,507001,"8742 223756 / 252464,",,,,,,
"V Prasad Eye Institute","Eye Bank","Kallam Anji Reddy Campus, Road No 2, LV Prasad Marg, Banajara Hills, Opp PVR, Beside Telugu Desam Party Office Hyderabad Telangana 500034",,Telangana,500034,040-30612345,,,www.lvpei.org,"'- Eye hospital and medical certifications. - Support for setting up low vision clinic and low vision center.",,
"V.T. THAKUR MEMORIAL LIONS EYE HOSPITAL","Eye Bank","Godown Road, Kamareddy, Nizambad",,Telangana,503111,"8462225888 / 9441922678/ 9849700678",9397311800,lionvtrajkumarpmjf@hotmail.com,,,,
"VASAN EYE BANK","Eye Bank","Vasan Eye Bank &amp; Training Center H.No. 08-01-05/07, Janak Plaza, Opp. Clock Tower, Beside Wesley Church ",Secunderabad,Telangana,500003,"93609 46379",,vasaneyebank@vasaveye.in,,,,
"VRC for Handicapped",,"ATI Campus, Vidya Nagar Hyderabad Telangana 500007",,Telangana,500007,040-27427381,9494233519,vrchyd@hub.nic.in,,"'- Centre provides counseling for late blind persons.",,
"Asha Kuteer Foundation",NGO,,Hyderabad,Telangana,,,,,,"Blind support, orphan care, senior citizen housing",,
"Hope Trust",,,Hyderabad,Telangana,,9849843030,,,,"Counselling, inclusive therapy",,
"Osmania University (OU)",Other,"Public Garden, Nampally, Hyderabad",Hyderabad,Telangana,500004,040-27092345,,registrar@osmania.ac.in,www.osmania.ac.in,"Special education programs, research",,
"Surabhi Lions Blind Girls School",School,"Hyderabad, Telangana",Hyderabad,Telangana,500001,040-22345678,,surabhi@school.org,,"Education, vocational training, residential care",,
"Commissioner for Persons with Disabilities","Government Department","Commissioner, Disabilities, Department of Social Welfare &amp; Social Education, Government of Tripura, Civil Secretariat Building Agartala  799001",,Tripura,799001,0381-2326033,,,,"'- Government department overseeing implementation of provisions under The Persons with Disabilities Act, 1995 at state level, monitoring and grievance redressal.",,
"Institute for the Visually Handicapped",School,"Badharghat, PO A.D. Nagar Agartala Tripura 799002",,Tripura,799002,0381-2374060,,deyml@hotmail.com,,"Type of School: Upper Primary residential school for the girls from Class I to VIII - Admission Time: January - Fee Structure: Free - Other Facilities in the School: School is providing services such as Braille press, career counseling, readers, writers, Braille appliances, sports and cultural activities.",,
"Institute for the Visually Handicapped",School,"Narsingh, PO Bimangarh Agartala Tripura 799015",,Tripura,799015,0381-2342257,,deyml@hotmail.com,,"Type of School: Elementary residential school for the boys - Admission Time: January - Fee Structure: Free - Other Facilities in the School: School is providing services such as counseling, Braille library, print books, Braille appliances, sports and cultural activities.",,
"National Handicapped Finance and Development",,"Tripura SC Cooperative Development Corporation Ltd. P.O. Lake Chowmuhani, Agartala West Tripura Tripura 799001",,Tripura,799001,0381-2226543,,,,"'- Financial body provides services like consultancy for setting up vocational training programs, setting up income generation activities and loans.",,
